Message,Category
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam
Leave it. U will always be ignorant.,ham
Hello! Good week? Fancy a drink or something later?,ham
So dont use hook up any how,ham
Beerage?,ham
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,ham
So when you gonna get rimac access,ham
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham
You're right I have now that I think about it,ham
"Ya ok, then had dinner?",ham
So that means you still think of teju,ham
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,ham
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,spam
I will see in half an hour,ham
India have to take lead:),ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
Hey i've booked the pilates and yoga lesson already... Haha,ham
Were gonna go get some tacos,ham
University of southern california.,ham
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham
No da if you run that it activate the full version da.,ham
"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",ham
This pain couldn't have come at a worse time.,ham
Then ur sis how?,ham
I will take care of financial problem.i will help:),ham
"That's good, because I need drugs",ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
Can do lor...,ham
Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham
I'm not coming home 4 dinner.,ham
Huh y lei...,ham
Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,spam
I hope you know I'm still mad at you.,ham
"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",ham
74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,spam
Tell them u have a headache and just want to use 1 hour of sick time.,ham
What does the dance river do?,ham
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",ham
Honey boo I'm missing u.,ham
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
How come i din c ü... Yup i cut my hair...,ham
"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",ham
ARR birthday today:) i wish him to get more oscar.,ham
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",spam
No..its ful of song lyrics..,ham
say thanks2.,ham
And I don't plan on staying the night but I prolly won't be back til late,ham
Ding me on ya break fassyole! Blacko from londn,ham
K.then any other special?,ham
Lol that's different. I don't go trying to find every real life photo you ever took.,ham
Well there's still a bit left if you guys want to tonight,ham
It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,ham
Yes when is the appt again?,ham
I called and said all to him:)then he have to choose this future.,ham
Dont talk to him ever ok its my word.,ham
"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",ham
Ü still attending da talks?,ham
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham
I have lost 10 kilos as of today!,ham
"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",ham
I'm going for bath will msg you next  &lt;#&gt;  min..,ham
"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",ham
"Thursday night? Yeah, sure thing, we'll work it out then",ham
"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",ham
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,ham
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
Ok u can take me shopping when u get paid =D,ham
Thanx a lot...,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,ham
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,ham
"I'm not coming over, do whatever you want",ham
I think u have the wrong number.,ham
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,ham
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,spam
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,spam
"I'm outside islands, head towards hard rock and you'll run into me",ham
Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,ham
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham
Ok try to do week end course in coimbatore.,ham
"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",ham
08714712388 between 10am-7pm Cost 10p,spam
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",ham
Sen told that he is going to join his uncle finance in cbe,ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,spam
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,spam
Customer place i will call you.,ham
R u meeting da ge at nite tmr?,ham
Still chance there. If you search hard you will get it..let have a try :),ham
Designation is software developer and may be she get chennai:),ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,ham
I've reached sch already...,ham
Now i'm going for lunch.,ham
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,spam
Jus ans me lar. U'll noe later.,ham
"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night",ham
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham
I just cooked a rather nice salmon a la you,ham
Yes:)sura in sun tv.:)lol.,ham
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
"I'll get there at 3, unless you guys want me to come some time sooner",ham
So what about you. What do you remember,ham
Ok i msg u b4 i leave my house.,ham
I meant middle left or right?,ham
Why i come in between you people,ham
Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,ham
He also knows about lunch menu only da. . I know,ham
"And very importantly, all we discuss is between u and i only.",ham
"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",ham
"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",ham
Dear good morning how you feeling dear,ham
So gd got free ice cream... I oso wan...,ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
"Haha get used to driving to usf man, I know a lot of stoners",ham
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,ham
"Aight, call me once you're close",ham
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",spam
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),ham
"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p",spam
Beauty sleep can help ur pimples too.,ham
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam
Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,ham
"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",ham
U too...,ham
If you are not coughing then its nothing,ham
So wat's da decision?,ham
I thought slide is enough.,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham
But that's on ebay it might be less elsewhere.,ham
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,ham
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,ham
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
U calling me right? Call my hand phone...,ham
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham
"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",spam
Quite late lar... Ard 12 anyway i wun b drivin...,ham
Left dessert. U wan me 2 go suntec look 4 u?,ham
That's y u haf 2 keep me busy...,ham
I HAVE A DATE ON SUNDAY WITH WILL!!,ham
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
There are no other charges after transfer charges and you can withdraw anyhow you like,ham
I cant pick the phone right now. Pls send a message,ham
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,ham
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham
"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!",ham
I.ll get there tomorrow and send it to you,ham
"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",spam
Should I be stalking u?,ham
Remember on that day..,ham
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,ham
"I av a new number,  . Wil u only use this one,ta.",ham
Ok lor...,ham
They r giving a second chance to rahul dengra.,ham
No. I.ll meet you in the library,ham
What should i eat fo lunch senor,ham
I might go 2 sch. Yar at e salon now v boring.,ham
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
Tell me they're female :V how're you throwing in? We're deciding what all to get now,ham
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham
I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.,ham
Oh did you charge camera,ham
K...k...when will you give treat?,ham
Teach me apps da. When you come to college.,ham
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham
I wont touch you with out your permission.,ham
U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,spam
Hey check it da. I have listed da.,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,spam
I'm in class. Will holla later,ham
"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam
"If i let you do this, i want you in the house by 8am.",ham
U call me alter at 11 ok.,ham
Hey they r not watching movie tonight so i'll prob b home early...,ham
Din i tell u jus now 420,ham
Ok.,ham
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam
I am in hospital da. . I will return home in evening,ham
"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",ham
Ill be at yours in about 3 mins but look out for me,ham
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,spam
Hey gals.. Anyone of u going down to e driving centre tmr?,ham
Ladies first and genus second k .,ham
Wanna do some art?! :D,ham
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam
How come guoyang go n tell her? Then u told her?,ham
No problem with the renewal. I.ll do it right away but i dont know his details.,ham
"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ham
"sir, you will receive the account no another 1hr time. Sorry for the delay.",ham
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam
Are you comingdown later?,ham
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam
Eh den sat u book e kb liao huh...,ham
Also are you bringing galileo or dobby,ham
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,ham
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,ham
"Lol you forgot it eh ? Yes, I'll bring it in babe",ham
Pathaya enketa maraikara pa',ham
"K, I might come by tonight then if my class lets out early",ham
Let me know how to contact you. I've you settled in a room. Lets know you are ok.,ham
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
I'm now but have to wait till 2 for the bus to pick me.,ham
Company is very good.environment is terrific and food is really nice:),ham
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,ham
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,spam
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",ham
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP",spam
Hey i will be late ah... Meet you at 945+,ham
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,ham
Much better now thanks lol,ham
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,ham
Pls call me da. What happen.,ham
Ok lor.,ham
Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham
Do well :)all will for little time. Thing of good times ahead:,ham
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,ham
U 2.,ham
Hey do you want anything to buy:),ham
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",spam
S but not able to sleep.,ham
Yun buying... But school got offer 2000 plus only...,ham
Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,ham
Oh is it! Which brand?,ham
"Sorry, I'll call later",ham
"Hiya, had a good day? Have you spoken to since the weekend?",ham
Just haven't decided where yet eh ?,ham
Thats cool. Where should i cum? On you or in you? :),ham
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
Good night. Am going to sleep.,ham
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham
Am not interested to do like that.,ham
Oh sorry please its over,ham
Shall i start from hear.,ham
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",ham
Lovely smell on this bus and it ain't tobacco...,ham
What you doing?how are you?,ham
"What part of ""don't initiate"" don't you understand",ham
No probably  &lt;#&gt; %.,ham
"Oh yes, why is it like torture watching england?",ham
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham
#ERROR!,spam
"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,ham
What u talking bout early morning? It's almost noon where your at!,ham
SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
Nope. I just forgot. Will show next week,ham
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam
Another month. I need chocolate weed and alcohol.,ham
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam
Come to mahal bus stop.. &lt;DECIMAL&gt;,ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
Babe ? I lost you ... :-(,ham
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",ham
Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,ham
I cant pick the phone right now. Pls send a message,ham
Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),ham
"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam
Anything lar then ü not going home 4 dinner?,ham
I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present.,ham
How many times i told in the stage all use to laugh. You not listen aha.,ham
Oh my God. I'm almost home,ham
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
Easy ah?sen got selected means its good..,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
What you doing?how are you?,ham
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,spam
Pls go there today  &lt;#&gt; . I dont want any excuses,ham
Sorry * was at the grocers.,ham
"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",ham
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,spam
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam
"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",spam
Have you not finished work yet or something?,ham
My battery is low babe,ham
hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,ham
If you have belive me. Come to my home.,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
Sian... Aft meeting supervisor got work 2 do liao... U working now?,ham
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",ham
For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,ham
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham
I dont want to hear anything,ham
Then anything special?,ham
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham
"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",ham
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham
Just nw i came to hme da..,ham
4 oclock at mine. Just to bash out a flat plan.,ham
Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham
I send the print  outs da.,ham
Thank you. do you generally date the brothas?,ham
Maybe you should find something else to do instead???,ham
Are you the cutest girl in the world or what,ham
I'm at work. Please call,ham
Taka lor. Wat time u wan 2 come n look 4 us?,ham
Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,spam
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,ham
"I just got home babe, are you still awake ?",ham
You busy or can I come by at some point and figure out what we're doing tomorrow,ham
Ok,ham
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham
Wish i were with you now!,ham
Oh ok..,ham
"Tonight? Yeah, I'd be down for that",ham
Why de. You looking good only:-)..,ham
Just finished. Missing you plenty,ham
Ok. There may be a free gym about.,ham
No..few hours before.went to hair cut .,ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
Nice talking to you! please dont forget my pix :) i want to see all of you...,ham
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham
Dont put your phone on silent mode ok,ham
Are you at work right now ?,ham
Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam
"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",ham
"Mostly sports type..lyk footbl,crckt..",ham
"No, I was trying it all weekend ;V",ham
Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,ham
