,Message,Category,Predicted
753,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam,spam
754,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham,ham
755,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham,ham
756,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham,ham
757,I just cooked a rather nice salmon a la you,ham,ham
758,Yes:)sura in sun tv.:)lol.,ham,ham
759,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,ham
760,"I'll get there at 3, unless you guys want me to come some time sooner",ham,ham
761,So what about you. What do you remember,ham,ham
762,Ok i msg u b4 i leave my house.,ham,ham
763,I meant middle left or right?,ham,ham
764,Why i come in between you people,ham,ham
765,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,ham,ham
766,He also knows about lunch menu only da. . I know,ham,ham
767,"And very importantly, all we discuss is between u and i only.",ham,ham
768,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",ham,ham
769,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",ham,ham
770,Dear good morning how you feeling dear,ham,ham
771,So gd got free ice cream... I oso wan...,ham,ham
772,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham,ham
773,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam,spam
774,"Haha get used to driving to usf man, I know a lot of stoners",ham,ham
775,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam,spam
776,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,ham,ham
777,"Aight, call me once you're close",ham,ham
778,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",spam,spam
779,Haha... dont be angry with yourself... Take it as a practice for the real thing. =),ham,ham
780,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p",spam,spam
781,Beauty sleep can help ur pimples too.,ham,ham
782,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam,spam
783,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,spam
784,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,ham,ham
785,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",ham,ham
786,U too...,ham,ham
787,If you are not coughing then its nothing,ham,ham
788,So wat's da decision?,ham,ham
789,I thought slide is enough.,ham,ham
790,U ned to convince him tht its not possible witot hurting his feeling its the main,ham,ham
791,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham,ham
792,But that's on ebay it might be less elsewhere.,ham,ham
793,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,ham
794,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,ham,ham
795,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,ham,ham
796,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham,ham
797,U calling me right? Call my hand phone...,ham,ham
798,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham,ham
799,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",spam,spam
800,Quite late lar... Ard 12 anyway i wun b drivin...,ham,ham
801,Left dessert. U wan me 2 go suntec look 4 u?,ham,ham
802,That's y u haf 2 keep me busy...,ham,ham
803,I HAVE A DATE ON SUNDAY WITH WILL!!,ham,ham
804,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham,ham
805,There are no other charges after transfer charges and you can withdraw anyhow you like,ham,ham
806,I cant pick the phone right now. Pls send a message,ham,ham
807,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam,spam
808,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham,ham
809,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,ham,ham
810,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,ham
811,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though!",ham,ham
812,I.ll get there tomorrow and send it to you,ham,ham
813,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",spam,spam
814,Should I be stalking u?,ham,ham
815,Remember on that day..,ham,ham
816,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,ham,ham
817,"I av a new number,  . Wil u only use this one,ta.",ham,ham
818,Ok lor...,ham,ham
819,They r giving a second chance to rahul dengra.,ham,ham
820,No. I.ll meet you in the library,ham,ham
821,What should i eat fo lunch senor,ham,ham
822,I might go 2 sch. Yar at e salon now v boring.,ham,ham
823,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham,ham
824,Tell me they're female :V how're you throwing in? We're deciding what all to get now,ham,ham
825,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,ham,ham
826,I am literally in bed and have been up for like  &lt;#&gt;  hours,ham,ham
827,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.,ham,ham
828,Oh did you charge camera,ham,ham
829,K...k...when will you give treat?,ham,ham
830,Teach me apps da. When you come to college.,ham,ham
831,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham,ham
832,I wont touch you with out your permission.,ham,ham
833,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,spam,spam
834,Hey check it da. I have listed da.,ham,ham
835,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,spam,spam
836,I'm in class. Will holla later,ham,ham
837,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam,spam
838,"If i let you do this, i want you in the house by 8am.",ham,ham
839,U call me alter at 11 ok.,ham,ham
840,Hey they r not watching movie tonight so i'll prob b home early...,ham,ham
841,Din i tell u jus now 420,ham,ham
842,Ok.,ham,ham
843,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,spam
844,I am in hospital da. . I will return home in evening,ham,ham
845,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",ham,ham
846,Ill be at yours in about 3 mins but look out for me,ham,ham
847,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,spam,spam
848,Hey gals.. Anyone of u going down to e driving centre tmr?,ham,ham
849,Ladies first and genus second k .,ham,ham
850,Wanna do some art?! :D,ham,ham
851,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,ham
852,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,ham
853,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,spam
854,How come guoyang go n tell her? Then u told her?,ham,ham
855,No problem with the renewal. I.ll do it right away but i dont know his details.,ham,ham
856,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",ham,ham
857,"sir, you will receive the account no another 1hr time. Sorry for the delay.",ham,ham
858,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam,spam
859,Are you comingdown later?,ham,ham
860,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham,ham
861,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,spam
862,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam,spam
863,Eh den sat u book e kb liao huh...,ham,ham
864,Also are you bringing galileo or dobby,ham,ham
865,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,ham,ham
866,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,ham,ham
867,"Lol you forgot it eh ? Yes, I'll bring it in babe",ham,ham
868,Pathaya enketa maraikara pa',ham,ham
869,"K, I might come by tonight then if my class lets out early",ham,ham
870,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,ham,ham
871,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",ham,ham
872,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam,spam
873,I'm now but have to wait till 2 for the bus to pick me.,ham,ham
874,Company is very good.environment is terrific and food is really nice:),ham,ham
875,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,ham,ham
876,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,spam,spam
877,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",ham,ham
878,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham,ham
879,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",ham,ham
880,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP",spam,spam
881,Hey i will be late ah... Meet you at 945+,ham,ham
882,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,ham
883,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,ham,ham
884,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,spam
885,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,ham,ham
886,Much better now thanks lol,ham,ham
887,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,spam
888,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,ham,ham
889,Pls call me da. What happen.,ham,ham
890,Ok lor.,ham,ham
891,Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham,ham
892,Do well :)all will for little time. Thing of good times ahead:,ham,ham
893,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,spam
894,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,ham,ham
895,U 2.,ham,ham
896,Hey do you want anything to buy:),ham,ham
897,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",spam,spam
898,S but not able to sleep.,ham,ham
899,Yun buying... But school got offer 2000 plus only...,ham,ham
900,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,ham,ham
901,Oh is it! Which brand?,ham,ham
902,"Sorry, I'll call later",ham,ham
903,"Hiya, had a good day? Have you spoken to since the weekend?",ham,ham
904,Just haven't decided where yet eh ?,ham,ham
905,Thats cool. Where should i cum? On you or in you? :),ham,ham
906,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,ham
907,Good night. Am going to sleep.,ham,ham
908,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,ham
909,Am not interested to do like that.,ham,ham
910,Oh sorry please its over,ham,ham
911,Shall i start from hear.,ham,ham
912,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",ham,ham
913,Lovely smell on this bus and it ain't tobacco...,ham,ham
914,What you doing?how are you?,ham,ham
915,"What part of ""don't initiate"" don't you understand",ham,ham
916,No probably  &lt;#&gt; %.,ham,ham
917,"Oh yes, why is it like torture watching england?",ham,ham
918,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,ham,ham
919,#ERROR!,spam,spam
920,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """,ham,ham
921,What u talking bout early morning? It's almost noon where your at!,ham,ham
922,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,spam
923,Nope. I just forgot. Will show next week,ham,ham
924,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,spam
925,Another month. I need chocolate weed and alcohol.,ham,ham
926,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,spam
927,Come to mahal bus stop.. &lt;DECIMAL&gt;,ham,ham
928,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham,ham
929,Babe ? I lost you ... :-(,ham,ham
930,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",ham,ham
931,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,ham,ham
932,I cant pick the phone right now. Pls send a message,ham,ham
933,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),ham,ham
934,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam,spam
935,Anything lar then ü not going home 4 dinner?,ham,ham
936,I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present.,ham,ham
937,How many times i told in the stage all use to laugh. You not listen aha.,ham,ham
938,Oh my God. I'm almost home,ham,ham
939,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",ham,ham
940,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam,spam
941,Easy ah?sen got selected means its good..,ham,ham
942,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,spam
943,What you doing?how are you?,ham,ham
944,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam,spam
945,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,spam,spam
946,Pls go there today  &lt;#&gt; . I dont want any excuses,ham,ham
947,Sorry * was at the grocers.,ham,ham
948,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",ham,ham
949,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,spam,spam
950,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam,spam
951,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",spam,spam
952,Have you not finished work yet or something?,ham,ham
953,My battery is low babe,ham,ham
954,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham,ham
955,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,ham,ham
956,If you have belive me. Come to my home.,ham,ham
957,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,spam
958,Sian... Aft meeting supervisor got work 2 do liao... U working now?,ham,ham
959,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",ham,ham
960,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,ham,ham
961,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",ham,ham
962,I dont want to hear anything,ham,ham
963,Then anything special?,ham,ham
964,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham,ham
965,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",ham,ham
966,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham,ham
967,Just nw i came to hme da..,ham,ham
968,4 oclock at mine. Just to bash out a flat plan.,ham,ham
969,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham,ham
970,I send the print  outs da.,ham,ham
971,Thank you. do you generally date the brothas?,ham,ham
972,Maybe you should find something else to do instead???,ham,ham
973,Are you the cutest girl in the world or what,ham,ham
974,I'm at work. Please call,ham,ham
975,Taka lor. Wat time u wan 2 come n look 4 us?,ham,ham
976,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,spam,spam
977,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,ham,ham
978,"I just got home babe, are you still awake ?",ham,ham
979,You busy or can I come by at some point and figure out what we're doing tomorrow,ham,ham
980,Ok,ham,ham
981,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham,ham
982,Wish i were with you now!,ham,ham
983,Oh ok..,ham,ham
984,"Tonight? Yeah, I'd be down for that",ham,ham
985,Why de. You looking good only:-)..,ham,ham
986,Just finished. Missing you plenty,ham,ham
987,Ok. There may be a free gym about.,ham,ham
988,No..few hours before.went to hair cut .,ham,ham
989,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham,ham
990,Nice talking to you! please dont forget my pix :) i want to see all of you...,ham,ham
991,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,ham
992,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",ham,ham
993,Dont put your phone on silent mode ok,ham,ham
994,Are you at work right now ?,ham,ham
995,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam,spam
996,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",ham,ham
997,"Mostly sports type..lyk footbl,crckt..",ham,ham
998,"No, I was trying it all weekend ;V",ham,ham
999,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,ham,ham
1000,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,spam,spam
1001,You are gorgeous! keep those pix cumming :) thank you!,ham,ham
1002,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,ham,ham
1003,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,spam,spam
1004,My uncles in Atlanta. Wish you guys a great semester.,ham,ham
1005,I think the other two still need to get cash but we can def be ready by 9,ham,ham
1006,Just normal only here :),ham,ham
1007,That seems unnecessarily hostile,ham,ham
1008,"Sorry that took so long, omw now",ham,ham
1009,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,ham,ham
1010,Its going good...no problem..but still need little experience to understand american customer voice...,ham,ham
1011,5 nights...We nt staying at port step liao...Too ex,ham,ham
1012,Dai what this da.. Can i send my resume to this id.,ham,ham
1013,"We're all getting worried over here, derek and taylor have already assumed the worst",ham,ham
1014,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ham,ham
1015,Can't take any major roles in community outreach. You rock mel,ham,ham
1016,Ü give me some time to walk there.,ham,ham
1017,i thought we were doing a king of the hill thing there.,ham,ham
1018,The wine is flowing and i'm i have nevering..,ham,ham
1019,So what u doing today?,ham,ham
1020,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham,ham
1021,Sent me ur email id soon,ham,ham
1022,Well done and ! luv ya all,ham,ham
1023,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),ham,ham
1024,I'm serious. You are in the money base,ham,ham
1025,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,ham,ham
1026,I'll meet you in the lobby,ham,ham
1027,"Nothing really, just making sure everybody's up to speed",ham,ham
1028,Yes we are chatting too.,ham,ham
1029,"Ok., is any problem to u frm him? Wats matter?",ham,ham
1030,No need for the drug anymore.,ham,ham
1031,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,ham,ham
1032,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,ham,ham
1033,Oh ya ya. I remember da. .,ham,ham
1034,"Not yet chikku..going to room nw, i'm in bus..",ham,ham
1035,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",ham,ham
1036,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham,ham
1037,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,spam,spam
1038,But i'll b going 2 sch on mon. My sis need 2 take smth.,ham,ham
1039,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham,ham
1040,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,spam
1041,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,ham,ham
1042,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,spam
1043,Send me your id and password,ham,ham
1044,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",ham,ham
1045,K...k...yesterday i was in cbe .,ham,ham
1046,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,spam,spam
1047,K..k:)how much does it cost?,ham,ham
1048,"That's what I love to hear :V see you sundayish, then",ham,ham
1049,That's one of the issues but california is okay. No snow so its manageable,ham,ham
1050,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",ham,ham
1051,You best watch what you say cause I get drunk as a motherfucker,ham,ham
1052,Will be office around 4 pm. Now i am going hospital.,ham,ham
1053,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham,ham
1054,And do you have any one that can teach me how to ship cars.,ham,ham
1055,U attend ur driving lesson how many times a wk n which day?,ham,ham
1056,It means u could not keep ur words.,ham,ham
1057,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",ham,ham
1058,Annoying isn't it.,ham,ham
1059,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",ham,ham
1060,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,ham,ham
1061,Yar else i'll thk of all sorts of funny things.,ham,ham
1062,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,spam,spam
1063,Jus finish watching tv... U?,ham,ham
1064,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,spam
1065,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam,spam
1066,Yo! Howz u? girls never rang after india. L,ham,ham
1067,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,ham
1068,"Wait, do you know if wesleys in town? I bet she does hella drugs!",ham,ham
1069,I keep ten rs in my shelf:) buy two egg.,ham,ham
1070,You flippin your shit yet?,ham,ham
1071,Having lunch:)you are not in online?why?,ham,ham
1072,Where in abj are you serving. Are you staying with dad or alone.,ham,ham
1073,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,spam
1074,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ham,ham
